UniProt ID,Gene,Protein name
Q8NHL6,LILRB1,Leukocyte immunoglobulin-like receptor subfamily B member 1
O75023,LILRB5,Leukocyte immunoglobulin-like receptor subfamily B member 5
P18065,IGFBP2,Insulin-like growth factor-binding protein 2
P19957,PI3,Elafin
Q9HD89,RETN,Resistin
Q16663,CCL15,C-C motif chemokine 15
P24158,PRTN3,Myeloblastin
Q12884,FAP,Prolyl endopeptidase FAP
P23284,PPIB,Peptidyl-prolyl cis-trans isomerase B
P39060,COL18A1,Collagen alpha-1(XVIII) chain
P04746,AMY2A,Pancreatic alpha-amylase
O15467,CCL16,C-C motif chemokine 16
P02452,COL1A1,Collagen alpha-1(I) chain
Q13867,BLMH,Bleomycin hydrolase
P42785,PRCP,Lysosomal Pro-X carboxypeptidase
O75594,PGLYRP1,Peptidoglycan recognition protein 1
P13987,CD59,CD59 glycoprotein
P19961,AMY2B,Alpha-amylase 2B
P20062,TCN2,Transcobalamin-2
P05121,SERPINE1,Plasminogen activator inhibitor 1
P43121,MCAM,Cell surface glycoprotein MUC18
P59665,DEFA1,
Q6EMK4,VASN,Vasorin
Q13508,ART3,Ecto-ADP-ribosyltransferase 3
Q96KN2,CNDP1,Beta-Ala-His dipeptidase
O95998,IL18BP,Interleukin-18-binding protein
P00740,F9,Coagulation factor IX
P15144,ANPEP,Aminopeptidase N
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D
Q06033,ITIH3,Inter-alpha-trypsin inhibitor heavy chain H3
P12830,CDH1,Cadherin-1
P13591,NCAM1,Neural cell adhesion molecule 1
P18428,LBP,Lipopolysaccharide-binding protein
Q99650,OSMR,Oncostatin-M-specific receptor subunit beta
Q12794,HYAL1,Hyaluronidase-1
P07339,CTSD,Cathepsin D
P24821,TNC,Tenascin
Q86VB7,CD163,Scavenger receptor cysteine-rich type 1 protein M130
Q14515,SPARCL1,SPARC-like protein 1
P14543,NID1,Nidogen-1
P30530,AXL,Tyrosine-protein kinase receptor UFO
P07478,PRSS2,Trypsin-2
Q9UBR2,CTSZ,Cathepsin Z
O00533,CHL1,Neural cell adhesion molecule L1-like protein
Q9BXJ1,C1QTNF1,Complement C1q tumor necrosis factor-related protein 1
P35443,THBS4,Thrombospondin-4
P02786,TFRC,Transferrin receptor protein 1
P10721,KIT,Mast/stem cell growth factor receptor Kit
Q07654,TFF3,Trefoil factor 3
P08709,F7,Coagulation factor VII
Q99969,RARRES2,Retinoic acid receptor responder protein 2
O95445,APOM,Apolipoprotein M
Q96H15,TIMD4,T-cell immunoglobulin and mucin domain-containing protein 4
P05556,ITGB1,Integrin beta-1
P08174,CD55,Complement decay-accelerating factor
P08571,CD14,Monocyte differentiation antigen CD14
P16109,SELP,P-selectin
P15529,CD46,Membrane cofactor protein
P07359,GP1BA,Platelet glycoprotein Ib alpha chain
Q15485,FCN2,Ficolin-2
P98160,HSPG2,Basement membrane-specific heparan sulfate proteoglycan core protein
Q15113,PCOLCE,Procollagen C-endopeptidase enhancer 1
P08887,IL6R,Interleukin-6 receptor subunit alpha
P00441,SOD1,Superoxide dismutase [Cu-Zn]
O75015,FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B
P10646,TFPI,Tissue factor pathway inhibitor
Q16853,AOC3,Amine oxidase [copper-containing] 3
O14786,NRP1,Neuropilin-1
P12318,FCGR2A,Low affinity immunoglobulin gamma Fc region receptor II-a
P80188,LCN2,Neutrophil gelatinase-associated lipocalin
P20023,CR2,Complement receptor type 2
Q9NZK5,ADA2,Adenosine deaminase 2
P55774,CCL18,C-C motif chemokine 18
P19320,VCAM1,Vascular cell adhesion protein 1
Q9NPY3,CD93,Complement component C1q receptor
P17936,IGFBP3,Insulin-like growth factor-binding protein 3
P36222,CHI3L1,Chitinase-3-like protein 1
P01034,CST3,Cystatin-C
Q16627,CCL14,C-C motif chemokine 14
P04070,PROC,Vitamin K-dependent protein C
P03950,ANG,Angiogenin
Q9UGM5,FETUB,Fetuin-B
P49747,COMP,Cartilage oligomeric matrix protein
P27487,DPP4,Dipeptidyl peptidase 4
Q9Y5C1,ANGPTL3,Angiopoietin-related protein 3
P41222,PTGDS,Prostaglandin-H2 D-isomerase
P00915,CA1,Carbonic anhydrase 1
P06681,C2,Complement C2
P05362,ICAM1,Intercellular adhesion molecule 1
P13501,CCL5,C-C motif chemokine 5
P24592,IGFBP6,Insulin-like growth factor-binding protein 6
Q12805,EFEMP1,EGF-containing fibulin-like extracellular matrix protein 1
P05451,REG1A,Lithostathine-1-alpha
Q92820,GGH,Gamma-glutamyl hydrolase
Q15582,TGFBI,Transforming growth factor-beta-induced protein ig-h3
P01033,TIMP1,Metalloproteinase inhibitor 1
P16860,NPPB,Natriuretic peptides B
P19429,TNNI3,Troponin I
P61978,HNRNPK,Heterogeneous nuclear ribonucleoprotein K
P17676,CEBPB,CCAAT/enhancer-binding protein beta
P08670,VIM,Vimentin
O96017,CHEK2,Serine/threonine-protein kinase Chk2
P34998,CRHR1,Corticotropin-releasing factor receptor 1
Q969D9,TSLP,Thymic stromal lymphopoietin
P55082,MFAP3,Microfibril-associated glycoprotein 3
O95988,TCL1B,T-cell leukemia/lymphoma protein 1B
Q9NRD8,DUOX2,Dual oxidase 2
Q16619,CTF1,Cardiotrophin-1
P17516,AKR1C4,Aldo-keto reductase family 1 member C4
Q9NRV9,HEBP1,Heme-binding protein 1
P36952,SERPINB5,Serpin B5
P52789,HK2,Hexokinase-2
P34947,GRK5,G protein-coupled receptor kinase 5
Q96N03,VSTM2L,V-set and transmembrane domain-containing protein 2-like protein
P31483,TIA1,Cytotoxic granule associated RNA binding protein TIA1
Q9Y2B0,CNPY2,Protein canopy homolog 2
O43186,CRX,Cone-rod homeobox protein
O95183,VAMP5,Vesicle-associated membrane protein 5
Q6UWL2,SUSD1,Sushi domain-containing protein 1
Q9UKL0,RCOR1,REST corepressor 1
P01375,TNF,Tumor necrosis factor
P35218,CA5A,Carbonic anhydrase 5A
P51161,FABP6,Gastrotropin
Q15831,STK11,Serine/threonine-protein kinase STK11
O60635,TSPAN1,Tetraspanin-1
P62736,ACTA2,Actin
P58546,MTPN,Myotrophin
O43854,EDIL3,EGF-like repeat and discoidin I-like domain-containing protein 3
Q13105,ZBTB17,Zinc finger and BTB domain-containing protein 17
P21246,PTN,Pleiotrophin
O95684,CEP43,Centrosomal protein 43
Q12912,IRAG2,Inositol 1
P21964,COMT,Catechol O-methyltransferase
P09237,MMP7,Matrilysin
Q15165,PON2,Serum paraoxonase/arylesterase 2
Q8TE57,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16
P55259,GP2,Pancreatic secretory granule membrane major glycoprotein GP2
Q92558,WASF1,Actin-binding protein WASF1
Q99549,MPHOSPH8,M-phase phosphoprotein 8
Q8NHS0,DNAJB8,DnaJ homolog subfamily B member 8
Q9H5Y7,SLITRK6,SLIT and NTRK-like protein 6
O15354,GPR37,Prosaposin receptor GPR37
P20718,GZMH,Granzyme H
P13807,GYS1,Glycogen [starch] synthase
P40225,THPO,Thrombopoietin
Q8NC01,CLEC1A,C-type lectin domain family 1 member A
O75354,ENTPD6,Ectonucleoside triphosphate diphosphohydrolase 6
P05231,IL6,Interleukin-6
P31997,CEACAM8,Carcinoembryonic antigen-related cell adhesion molecule 8
P25815,S100P,Protein S100-P
O75356,ENTPD5,Nucleoside diphosphate phosphatase ENTPD5
Q9BYF1,ACE2,Angiotensin-converting enzyme 2
P07585,DCN,Decorin
Q04760,GLO1,Lactoylglutathione lyase
Q9NWQ8,PAG1,Phosphoprotein associated with glycosphingolipid-enriched microdomains 1
Q13444,ADAM15,Disintegrin and metalloproteinase domain-containing protein 15
P40818,USP8,Ubiquitin carboxyl-terminal hydrolase 8
P22004,BMP6,Bone morphogenetic protein 6
Q9UKP3,ITGB1BP2,Integrin beta-1-binding protein 2
P0DPI2,GATD3,Glutamine amidotransferase-like class 1 domain-containing protein 3
Q8IZC4,RTKN2,Rhotekin-2
P78524,DENND2B,DENN domain-containing protein 2B
Q9H2M3,BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2
P55769,SNU13,NHP2-like protein 1
Q9Y2W1,THRAP3,Thyroid hormone receptor-associated protein 3
O43734,TRAF3IP2,E3 ubiquitin ligase TRAF3IP2
O00567,NOP56,Nucleolar protein 56
Q15477,SKIC2,Superkiller complex protein 2
P25391,LAMA1,Laminin subunit alpha-1
P06753,TPM3,Tropomyosin alpha-3 chain
P48507,GCLM,Glutamate--cysteine ligase regulatory subunit
Q9NZJ5,EIF2AK3,Eukaryotic translation initiation factor 2-alpha kinase 3
Q9Y623,MYH4,Myosin-4
P23634,ATP2B4,Plasma membrane calcium-transporting ATPase 4
O14958,CASQ2,Calsequestrin-2
O95180,CACNA1H,Voltage-dependent T-type calcium channel subunit alpha-1H
P54709,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3
Q13503,MED21,Mediator of RNA polymerase II transcription subunit 21
P08913,ADRA2A,Alpha-2A adrenergic receptor
P49755,TMED10,Transmembrane emp24 domain-containing protein 10
Q96DA2,RAB39B,Ras-related protein Rab-39B
P46783,RPS10,Small ribosomal subunit protein eS10
O00291,HIP1,Huntingtin-interacting protein 1
P04141,CSF2,Granulocyte-macrophage colony-stimulating factor
A6NCE7,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2
Q9Y3B8,REXO2,Oligoribonuclease
Q6UWF7,NXPE4,NXPE family member 4
P55011,SLC12A2,Solute carrier family 12 member 2
P10109,FDX1,Adrenodoxin
P30049,ATP5F1D,ATP synthase subunit delta
P33121,ACSL1,Long-chain-fatty-acid--CoA ligase 1
O60701,UGDH,UDP-glucose 6-dehydrogenase
Q9BY32,ITPA,Inosine triphosphate pyrophosphatase
Q01780,EXOSC10,Exosome complex component 10
Q08499,PDE4D,3'
P21817,RYR1,Ryanodine receptor 1
Q96HD9,ACY3,N-acyl-aromatic-L-amino acid amidohydrolase (carboxylate-forming)
P35228,NOS2,Nitric oxide synthase
E2RYF7,HCG22,Protein PBMUCL2
Q9NVZ3,NECAP2,Adaptin ear-binding coat-associated protein 2
Q9Y4C8,RBM19,Probable RNA-binding protein 19
Q07973,CYP24A1,1
Q04695,KRT17,Keratin
Q15059,BRD3,Bromodomain-containing protein 3
B6SEH8,ERVV-1,Endogenous retrovirus group V member 1 Env polyprotein
O95858,TSPAN15,Tetraspanin-15
Q9H347,UBQLN3,Ubiquilin-3
P06729,CD2,T-cell surface antigen CD2
Q96IW2,SHD,SH2 domain-containing adapter protein D
A6BM72,MEGF11,Multiple epidermal growth factor-like domains protein 11
Q9UKX7,NUP50,Nuclear pore complex protein Nup50
Q96LB8,PGLYRP4,Peptidoglycan recognition protein 4
Q9NV35,NUDT15,Nucleotide triphosphate diphosphatase NUDT15
Q10587,TEF,Thyrotroph embryonic factor
Q13296,SCGB2A2,Mammaglobin-A
P20929,NEB,Nebulin
Q5TA50,CPTP,Ceramide-1-phosphate transfer protein
Q86UW2,SLC51B,Organic solute transporter subunit beta
Q8WZ42,TTN,Titin
Q9UFP1,GASK1A,Golgi-associated kinase 1A
Q99707,MTR,Methionine synthase
P21673,SAT1,Diamine acetyltransferase 1
O00425,IGF2BP3,Insulin-like growth factor 2 mRNA-binding protein 3
O43290,SART1,U4/U6.U5 tri-snRNP-associated protein 1
Q92935,EXTL1,Exostosin-like 1
Q8N8E3,CEP112,Centrosomal protein of 112 kDa
P16066,NPR1,Atrial natriuretic peptide receptor 1
Q6NZY4,ZCCHC8,Zinc finger CCHC domain-containing protein 8
P14415,ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2
Q96K76,USP47,Ubiquitin carboxyl-terminal hydrolase 47
P05976,MYL1,Myosin light chain 1/3
Q9Y2Y0,ARL2BP,ADP-ribosylation factor-like protein 2-binding protein
Q14088,RAB33A,Ras-related protein Rab-33A
P38935,IGHMBP2,DNA-binding protein SMUBP-2
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1
O15305,PMM2,Phosphomannomutase 2
Q9BW61,DDA1,DET1- and DDB1-associated protein 1
Q15370,ELOB,Elongin-B
Q8NET8,TRPV3,Transient receptor potential cation channel subfamily V member 3
P05000,IFNW1,Interferon omega-1
Q15018,ABRAXAS2,BRISC complex subunit Abraxas 2
P54296,MYOM2,Myomesin-2
Q16836,HADH,Hydroxyacyl-coenzyme A dehydrogenase
Q14353,GAMT,Guanidinoacetate N-methyltransferase
P23511,NFYA,Nuclear transcription factor Y subunit alpha
Q07075,ENPEP,Glutamyl aminopeptidase
Q9BV94,EDEM2,ER degradation-enhancing alpha-mannosidase-like protein 2
Q02127,DHODH,Dihydroorotate dehydrogenase (quinone)
P57078,RIPK4,Receptor-interacting serine/threonine-protein kinase 4
Q6ZN66,GBP6,Guanylate-binding protein 6
Q9BZL6,PRKD2,Serine/threonine-protein kinase D2
A6NHS7,MANSC4,MANSC domain-containing protein 4
O75521,ECI2,Enoyl-CoA delta isomerase 2
P12270,TPR,Nucleoprotein TPR
Q9NYX4,CALY,Neuron-specific vesicular protein calcyon
P37058,HSD17B3,17-beta-hydroxysteroid dehydrogenase type 3
Q9BZC7,ABCA2,ATP-binding cassette sub-family A member 2
Q6P4F2,FDX2,Ferredoxin-2
Q16774,GUK1,Guanylate kinase
Q9UNN8,PROCR,Endothelial protein C receptor
P10082,PYY,Peptide YY
O15018,PDZD2,PDZ domain-containing protein 2
Q16206,ENOX2,Ecto-NOX disulfide-thiol exchanger 2
P0C7L1,SPINK8,Serine protease inhibitor Kazal-type 8
Q7Z7H5,TMED4,Transmembrane emp24 domain-containing protein 4
Q9Y2L6,FRMD4B,FERM domain-containing protein 4B
P55010,EIF5,Eukaryotic translation initiation factor 5
Q01581,HMGCS1,Hydroxymethylglutaryl-CoA synthase
Q12986,NFX1,Transcriptional repressor NF-X1
P22033,MMUT,Methylmalonyl-CoA mutase
P19838,NFKB1,Nuclear factor NF-kappa-B p105 subunit
Q01484,ANK2,Ankyrin-2
P59901,LILRA4,Leukocyte immunoglobulin-like receptor subfamily A member 4
O43896,KIF1C,Kinesin-like protein KIF1C
Q03013,GSTM4,Glutathione S-transferase Mu 4
O94766,B3GAT3,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3
Q3SXY8,ARL13B,ADP-ribosylation factor-like protein 13B
O95670,ATP6V1G2,V-type proton ATPase subunit G 2
O00327,BMAL1,Basic helix-loop-helix ARNT-like protein 1
P48668,KRT6C,Keratin
P00966,ASS1,Argininosuccinate synthase
Q96PU4,UHRF2,E3 ubiquitin-protein ligase UHRF2
P20382,PMCH,Pro-MCH
P35606,COPB2,Coatomer subunit beta'
P13224,GP1BB,Platelet glycoprotein Ib beta chain
Q14807,KIF22,Kinesin-like protein KIF22
P50461,CSRP3,Cysteine and glycine-rich protein 3
Q14781,CBX2,Chromobox protein homolog 2
Q96A35,MRPL24,Large ribosomal subunit protein uL24m
Q58F21,BRDT,Bromodomain testis-specific protein
Q96EU7,C1GALT1C1,C1GALT1-specific chaperone 1
Q5VVQ6,YOD1,Ubiquitin thioesterase OTU1
A6NDB9,PALM3,Paralemmin-3
O75534,CSDE1,Cold shock domain-containing protein E1
Q13563,PKD2,Polycystin-2
Q99598,TSNAX,Translin-associated protein X
Q86VP3,PACS2,Phosphofurin acidic cluster sorting protein 2
Q5W0V3,FHIP2A,FHF complex subunit HOOK interacting protein 2A
P41227,NAA10,N-alpha-acetyltransferase 10
Q86VR7,VSIG10L,V-set and immunoglobulin domain-containing protein 10-like
Q93052,LPP,Lipoma-preferred partner
O75427,LRCH4,Leucine-rich repeat and calponin homology domain-containing protein 4
P35609,ACTN2,Alpha-actinin-2
P32241,VIPR1,Vasoactive intestinal polypeptide receptor 1
Q8ND90,PNMA1,Paraneoplastic antigen Ma1
Q5JTV8,TOR1AIP1,Torsin-1A-interacting protein 1
Q9UBV2,SEL1L,Protein sel-1 homolog 1
P46926,GNPDA1,Glucosamine-6-phosphate isomerase 1
Q8NFP7,NUDT10,Diphosphoinositol polyphosphate phosphohydrolase 3-alpha
Q14324,MYBPC2,Myosin-binding protein C
P35520,CBS,Cystathionine beta-synthase
O14841,OPLAH,5-oxoprolinase
Q8WXC3,PYDC1,Pyrin domain-containing protein 1
O43423,ANP32CP,Putative uncharacterized protein ANP32CP
Q9BQI0,AIF1L,Allograft inflammatory factor 1-like
Q8TER0,SNED1,Sushi
Q9BTK6,PAGR1,PAXIP1-associated glutamate-rich protein 1
Q9H173,SIL1,Nucleotide exchange factor SIL1
P20645,M6PR,Cation-dependent mannose-6-phosphate receptor
P13929,ENO3,Beta-enolase
Q96ID5,IGSF21,Immunoglobulin superfamily member 21
P23327,HRC,Sarcoplasmic reticulum histidine-rich calcium-binding protein
P29536,LMOD1,Leiomodin-1
Q13316,DMP1,Dentin matrix acidic phosphoprotein 1
P35914,HMGCL,Hydroxymethylglutaryl-CoA lyase
Q9Y5X3,SNX5,Sorting nexin-5
Q14643,ITPR1,Inositol 1
Q99807,COQ7,5-demethoxyubiquinone hydroxylase
Q99942,RNF5,E3 ubiquitin-protein ligase RNF5
P36776,LONP1,Lon protease homolog
Q14457,BECN1,Beclin-1
I3L3R5,CCER2,Coiled-coil domain-containing glutamate-rich protein 2
Q8N668,COMMD1,COMM domain-containing protein 1
P11532,DMD,Dystrophin
P05305,EDN1,Endothelin-1
Q14160,SCRIB,Protein scribble homolog
