UniProt ID,Gene,Protein name
Q16698,DECR1,"2,4-dienoyl-CoA reductase, mitochondrial"
P00973,OAS1,2'-5'-oligoadenylate synthase 1
Q15646,OASL,2'-5'-oligoadenylate synthetase like protein
O43598,DNPH1,2'-deoxynucleoside 5'-phosphate N-hydrolase 1
P09543,CNP,"2',3'-cyclic-nucleotide 3'-phosphodiesterase"
Q6L8Q7,PDE12,"2',5'-phosphodiesterase 12"
P62191,PSMC1,26S protease regulatory subunit 4
P17980,PSMC3,26S protease regulatory subunit 6A
P43686,PSMC4,26S protease regulatory subunit 6B
P35998,PSMC2,26S protease regulatory subunit 7
P62195,PSMC5,26S protease regulatory subunit 8
P62333,PSMC6,26S protease regulatory subunit S10B
O75832,PSMD10,26S proteasome non-ATPase regulatory subunit 10
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11
Q9UNM6,PSMD13,26S proteasome non-ATPase regulatory subunit 13
Q13200,PSMD2,26S proteasome non-ATPase regulatory subunit 2
P55036,PSMD4,26S proteasome non-ATPase regulatory subunit 4
Q16401,PSMD5,26S proteasome non-ATPase regulatory subunit 5
Q15008,PSMD6,26S proteasome non-ATPase regulatory subunit 6
P51665,PSMD7,26S proteasome non-ATPase regulatory subunit 7
P48556,PSMD8,26S proteasome non-ATPase regulatory subunit 8
O00233,PSMD9,26S proteasome non-ATPase regulatory subunit 9
Q13442,PDAP1,28 kDa heat- and acid-stable phosphoprotein
P82912,MRPS11,"28S ribosomal protein S11, mitochondrial"
O60783,MRPS14,"28S ribosomal protein S14, mitochondrial"
P82914,MRPS15,"28S ribosomal protein S15, mitochondrial"
Q9Y3D9,MRPS23,"28S ribosomal protein S23, mitochondrial"
P82663,MRPS25,"28S ribosomal protein S25, mitochondrial"
Q92552,MRPS27,"28S ribosomal protein S27, mitochondrial"
Q9Y2Q9,MRPS28,"28S ribosomal protein S28, mitochondrial"
P51398,DAP3,"28S ribosomal protein S29, mitochondrial"
Q9NP92,MRPS30,"28S ribosomal protein S30, mitochondrial"
Q9Y291,MRPS33,"28S ribosomal protein S33, mitochondrial"
P82930,MRPS34,"28S ribosomal protein S34, mitochondrial"
P26439,HSD3B2,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2
Q15125,EBP,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase"
P04035,HMGCR,3-hydroxy-3-methylglutaryl-coenzyme A reductase
Q99714,HSD17B10,3-hydroxyacyl-CoA dehydrogenase type-2
P46952,HAAO,"3-hydroxyanthranilate 3,4-dioxygenase"
Q02338,BDH1,3-hydroxybutyrate dehydrogenase
Q9BUT1,BDH2,3-hydroxybutyrate dehydrogenase type 2
P31937,HIBADH,"3-hydroxyisobutyrate dehydrogenase, mitochondrial"
Q6NVY1,HIBCH,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"
P56937,HSD17B7,3-keto-steroid reductase:Cytoplasmic domain
P56937,HSD17B7,3-keto-steroid reductase:Extracellular domain (partial)
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal"
Q06136,KDSR,3-ketodihydrosphingosine reductase
P25325,MPST,3-mercaptopyruvate sulfurtransferase
P51857,AKR1D1,3-oxo-5-beta-steroid 4-dehydrogenase
Q9NWU1,OXSM,"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial"
O15530,PDPK1,3-phosphoinositide-dependent protein kinase 1
Q8IV48,ERI1,3'-5' exoribonuclease 1
O95861,BPNT1,"3'(2'),5'-bisphosphate nucleotidase 1"
Q9BYD6,MRPL1,"39S ribosomal protein L1, mitochondrial"
Q7Z7H8,MRPL10,"39S ribosomal protein L10, mitochondrial"
P52815,MRPL12,"39S ribosomal protein L12, mitochondrial"
Q6P1L8,MRPL14,"39S ribosomal protein L14, mitochondrial"
Q9NRX2,MRPL17,"39S ribosomal protein L17, mitochondrial"
Q9H0U6,MRPL18,"39S ribosomal protein L18, mitochondrial"
Q5T653,MRPL2,"39S ribosomal protein L2, mitochondrial"
Q7Z2W9,MRPL21,"39S ribosomal protein L21, mitochondrial"
Q9NWU5,MRPL22,"39S ribosomal protein L22, mitochondrial"
Q13084,MRPL28,"39S ribosomal protein L28, mitochondrial"
Q9BYC8,MRPL32,"39S ribosomal protein L32, mitochondrial"
O75394,MRPL33,"39S ribosomal protein L33, mitochondrial"
Q9BQ48,MRPL34,"39S ribosomal protein L34, mitochondrial"
Q96DV4,MRPL38,"39S ribosomal protein L38, mitochondrial"
Q9BYD3,MRPL4,"39S ribosomal protein L4, mitochondrial"
Q8IXM3,MRPL41,"39S ribosomal protein L41, mitochondrial"
Q8N983,MRPL43,"39S ribosomal protein L43, mitochondrial"
Q9H2W6,MRPL46,"39S ribosomal protein L46, mitochondrial"
Q9HD33,MRPL47,"39S ribosomal protein L47, mitochondrial"
Q8N5N7,MRPL50,"39S ribosomal protein L50, mitochondrial"
Q86TS9,MRPL52,"39S ribosomal protein L52, mitochondrial"
Q6P161,MRPL54,"39S ribosomal protein L54, mitochondrial"
Q7Z7F7,MRPL55,"39S ribosomal protein L55, mitochondrial"
Q86XE5,HOGA1,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial"
P32754,HPD,4-hydroxyphenylpyruvate dioxygenase
Q96IR7,HPDL,4-hydroxyphenylpyruvate dioxygenase-like protein
P49189,ALDH9A1,4-trimethylaminobutyraldehyde dehydrogenase
P46783,RPS10,40S ribosomal protein S10
P25398,RPS12,40S ribosomal protein S12
P62263,RPS14,40S ribosomal protein S14
P62249,RPS16,40S ribosomal protein S16
P62269,RPS18,40S ribosomal protein S18
P39019,RPS19,40S ribosomal protein S19
P60866,RPS20,40S ribosomal protein S20
P62266,RPS23,40S ribosomal protein S23
P62847,RPS24,40S ribosomal protein S24
P62851,RPS25,40S ribosomal protein S25
P23396,RPS3,40S ribosomal protein S3
P61247,RPS3A,40S ribosomal protein S3a
P62701,RPS4X,"40S ribosomal protein S4, X isoform"
P46782,RPS5,40S ribosomal protein S5
P62081,RPS7,40S ribosomal protein S7
P08865,RPSA,40S ribosomal protein SA
P08195,SLC3A2,4F2 cell-surface antigen heavy chain:Cytoplasmic domain
P08195,SLC3A2,4F2 cell-surface antigen heavy chain:Extracellular domain
P22557,ALAS2,"5-aminolevulinate synthase, erythroid-specific, mitochondrial"
P22557,ALAS2,"5-aminolevulinate synthase, erythroid-specific, mitochondrial"
Q9H6S1,AZI2,5-azacytidine-induced protein 2
Q99807,COQ7,"5-demethoxyubiquinone hydroxylase, mitochondrial"
P49914,MTHFS,5-formyltetrahydrofolate cyclo-ligase
P28223,HTR2A,5-hydroxytryptamine receptor 2A
P50406,HTR6,5-hydroxytryptamine receptor 6
P34969,HTR7,5-hydroxytryptamine receptor 7
P09917,ALOX5,5-Lipoxygenase
O14841,OPLAH,5-oxoprolinase
Q8IUZ5,PHYKPL,5-phosphohydroxy-L-lysine phospho-lyase
Q8IZH2,XRN1,5'-3' exoribonuclease 1
Q9H0D6,XRN2,5'-3' exoribonuclease 2
Q13131,PRKAA1,5'-AMP-activated protein kinase catalytic subunit alpha-1
Q9Y478,PRKAB1,5'-AMP-activated protein kinase subunit beta-1
P21589,NT5E,5'-Nucleotidase
P21589,NT5E,5'-Nucleotidase
Q5TFE4,NT5DC1,5'-nucleotidase domain-containing protein 1
Q86UY8,NT5DC3,5'-nucleotidase domain-containing protein 3
Q8TCD5,NT5C,"5'(3')-deoxyribonucleotidase, cytosolic type"
Q9NPB1,NT5M,"5'(3')-deoxyribonucleotidase, mitochondrial"
Q00013,MPP1,55 kDa erythrocyte membrane protein
Q13641,TPBG,5T4 oncofetal trophoblast glycoprotein
Q13641,TPBG,5T4 oncofetal trophoblast glycoprotein
O60825,PFKFB2,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
P16118,PFKFB1,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1"
Q16875,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3"
Q16877,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4"
Q01813,PFKP,6-phosphofructokinase type C
P52209,PGD,"6-phosphogluconate dehydrogenase, decarboxylating"
O95336,PGLS,6-phosphogluconolactonase
Q03393,PTS,6-pyruvoyl tetrahydrobiopterin synthase
P10809,HSPD1,"60 kDa heat shock protein, mitochondrial"
P05388,RPLP0,60S acidic ribosomal protein P0
P05387,RPLP2,60S acidic ribosomal protein P2
Q96D46,NMD3,60S ribosomal export protein NMD3
P62906,RPL10A,60S ribosomal protein L10a
P62913,RPL11,60S ribosomal protein L11
P30050,RPL12,60S ribosomal protein L12
P26373,RPL13,60S ribosomal protein L13
P18621,RPL17,60S ribosomal protein L17
P46778,RPL21,60S ribosomal protein L21
P35268,RPL22,60S ribosomal protein L22
P62750,RPL23A,60S ribosomal protein L23a
P61254,RPL26,60S ribosomal protein L26
Q9UNX3,RPL26L1,60S ribosomal protein L26-like 1
P61353,RPL27,60S ribosomal protein L27
P62888,RPL30,60S ribosomal protein L30
P62899,RPL31,60S ribosomal protein L31
P62910,RPL32,60S ribosomal protein L32
P61513,RPL37A,60S ribosomal protein L37a
P63173,RPL38,60S ribosomal protein L38
P46777,RPL5,60S ribosomal protein L5
Q6DKI1,RPL7L1,60S ribosomal protein L7-like 1
P62917,RPL8,60S ribosomal protein L8
Q9Y221,NIP7,60S ribosome subunit biogenesis protein NIP7 homolog
Q969T7,NT5C3B,7-methylguanosine phosphate-specific 5'-nucleotidase
P36639,NUDT1,"7,8-dihydro-8-oxoguanine triphosphatase"
Q9NRR6,INPP5E,72 kDa inositol polyphosphate 5-phosphatase
P08253,MMP2,72 kDa type IV collagenase
P11021,HSPA5,78 kDa glucose-regulated protein
Q7L2J0,MEPCE,7SK snRNA methylphosphate capping enzyme
Q6ZVK8,NUDT18,8-oxo-dGDP phosphatase NUDT18
Q9UHI8,ADAMTS1,A disintegrin and metalloproteinase with thrombospondin motifs 1
Q9H324,ADAMTS10,A disintegrin and metalloproteinase with thrombospondin motifs 10
P58397,ADAMTS12,A disintegrin and metalloproteinase with thrombospondin motifs 12
Q76LX8,ADAMTS13,A disintegrin and metalloproteinase with thrombospondin motifs 13
Q8TE58,ADAMTS15,A disintegrin and metalloproteinase with thrombospondin motifs 15
Q8TE57,ADAMTS16,A disintegrin and metalloproteinase with thrombospondin motifs 16
O15072,ADAMTS3,A disintegrin and metalloproteinase with thrombospondin motifs 3
O75173,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4
Q9UNA0,ADAMTS5,A disintegrin and metalloproteinase with thrombospondin motifs 5
Q9UKP5,ADAMTS6,A disintegrin and metalloproteinase with thrombospondin motifs 6
Q9UP79,ADAMTS8,A disintegrin and metalloproteinase with thrombospondin motifs 8
Q9P2N4,ADAMTS9,A disintegrin and metalloproteinase with thrombospondin motifs 9
Q9Y2D5,AKAP2,A-kinase anchor protein 2
P24588,AKAP5,A-kinase anchor protein 5
Q9P0M2,AKAP7,A-kinase anchor protein 7 isoform gamma
O43687,AKAP7,A-kinase anchor protein 7 isoforms alpha and beta
Q9ULX6,AKAP8L,A-kinase anchor protein 8-like
Q96D53,COQ8B,AarF domain-containing protein kinase 4
P42684,ABL2,Abelson tyrosine-protein kinase 2
P42684,ABL2,Abelson tyrosine-protein kinase 2
Q7Z5M8,ABHD12B,Abhydrolase domain-containing protein 12B
Q9P2A4,ABI3,ABI gene family member 3
Q9NYB9,ABI2,Abl interactor 2
Q96K21,ZFYVE19,Abscission/NoCut checkpoint regulator
O14862,AIM2,Absent in melanoma 2
Q86V21,AACS,Acetoacetyl-CoA synthetase
Q9BWD1,ACAT2,"Acetyl-CoA acetyltransferase, cytosolic"
P24752,ACAT1,"Acetyl-CoA acetyltransferase, mitochondrial"
O00763,ACACB,Acetyl-CoA carboxylase 2
Q9NUB1,ACSS1,"Acetyl-coenzyme A synthetase 2-like, mitochondrial"
Q9NR19,ACSS2,"Acetyl-coenzyme A synthetase, cytoplasmic"
P02708,CHRNA1,Acetylcholine receptor subunit alpha
P22303,ACHE,Acetylcholinesterase
P22303,ACHE,Acetylcholinesterase
P46597,ASMT,Acetylserotonin O-methyltransferase
P50553,ASCL1,Achaete-scute homolog 1
Q99929,ASCL2,Achaete-scute homolog 2
Q9NQ33,ASCL3,Achaete-scute homolog 3
Q13510,ASAH1,Acid ceramidase
Q92484,SMPDL3A,Acid sphingomyelinase-like phosphodiesterase 3a
Q92484,SMPDL3A,Acid sphingomyelinase-like phosphodiesterase 3a
Q92485,SMPDL3B,Acid sphingomyelinase-like phosphodiesterase 3b
Q16515,ASIC2,Acid-sensing ion channel 2
Q96FT7,ASIC4,Acid-sensing ion channel 4
Q9NY37,ASIC5,Acid-sensing ion channel 5
O43427,FIBP,Acidic fibroblast growth factor intracellular-binding protein
P39687,ANP32A,Acidic leucine-rich nuclear phosphoprotein 32 family member A
Q92688,ANP32B,Acidic leucine-rich nuclear phosphoprotein 32 family member B
O43423,ANP32C,Acidic leucine-rich nuclear phosphoprotein 32 family member C
Q9BZP6,CHIA,Acidic mammalian chitinase
Q99798,ACO2,"Aconitate hydratase, mitochondrial"
Q8NEB7,ACRBP,Acrosin-binding protein
P26436,ACRV1,Acrosomal protein SP-10
P26436,ACRV1,Acrosomal protein SP-10
Q8N556,AFAP1,Actin filament-associated protein 1
Q8TED9,AFAP1L1,Actin filament-associated protein 1-like 1
Q8N4X5,AFAP1L2,Actin filament-associated protein 1-like 2
Q6H8Q1,ABLIM2,Actin-binding LIM protein 2
O94929,ABLIM3,Actin-binding LIM protein 3
Q8N0Z2,ABRA,Actin-binding Rho-activating protein
P61158,ACTR3,Actin-like protein 3
Q9Y614,ACTL7B,Actin-like protein 7B
Q9H568,ACTL8,Actin-like protein 8
Q9NZ32,ACTR10,Actin-related protein 10
Q92747,ARPC1A,Actin-related protein 2/3 complex subunit 1A
O15143,ARPC1B,Actin-related protein 2/3 complex subunit 1B
O15144,ARPC2,Actin-related protein 2/3 complex subunit 2
O15145,ARPC3,Actin-related protein 2/3 complex subunit 3
P59998,ARPC4,Actin-related protein 2/3 complex subunit 4
O15511,ARPC5,Actin-related protein 2/3 complex subunit 5
Q9BPX5,ARPC5L,Actin-related protein 2/3 complex subunit 5-like protein
Q9C0K3,ACTR3C,Actin-related protein 3C
Q9H9F9,ACTR5,Actin-related protein 5
Q8TDY3,ACTRT2,Actin-related protein T2
P68133,ACTA1,"Actin, alpha skeletal muscle"
P62736,ACTA2,"Actin, aortic smooth muscle"
P63261,ACTG1,"Actin, cytoplasmic 2"
P04070,PROC,Activated Protein C
P04070,PROC,Activated Protein C
P53999,SUB1,Activated RNA polymerase II transcriptional coactivator p15
Q9C0C7,AMBRA1,Activating molecule in BECN1-regulated autophagy protein 1
Q8N9N2,ASCC1,Activating signal cointegrator 1 complex subunit 1
Q9H1I8,ASCC2,Activating signal cointegrator 1 complex subunit 2
Q5U623,ATF7IP2,Activating transcription factor 7-interacting protein 2
O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1
O00198,HRK,Activator of apoptosis harakiri
Q9ULW3,ABT1,Activator of basal transcription 1
Q12979,ABR,Active breakpoint cluster region-related protein
P08476,INHBA,Activin A
P08476,INHBA,Activin A
P09529,INHBB,Activin B
P36896,ACVR1B,Activin receptor type-1B
P27037,ACVR2A,Activin receptor type-2A
Q13705,ACVR2B,Activin receptor type-2B
Q04771,ACVR1,Activin RIA
Q7LC44,ARC,Activity-regulated cytoskeleton-associated protein
O95864,FADS2,Acyl-CoA 6-desaturase
Q96CM8,ACSF2,"Acyl-CoA synthetase family member 2, mitochondrial"
Q9H6R3,ACSS3,"Acyl-CoA synthetase short-chain family member 3, mitochondrial"
Q8NC06,ACBD4,Acyl-CoA-binding domain-containing protein 4
Q5T8D3,ACBD5,Acyl-CoA-binding domain-containing protein 5
Q9BR61,ACBD6,Acyl-CoA-binding domain-containing protein 6
Q9BR61,ACBD6,Acyl-CoA-binding domain-containing protein 6
Q8N6N7,ACBD7,Acyl-CoA-binding domain-containing protein 7
P07108,DBI,Acyl-CoA-binding protein
Q9NUZ1,ACOXL,Acyl-coenzyme A oxidase-like protein
Q08AH1,ACSM1,"Acyl-coenzyme A synthetase ACSM1, mitochondrial"
Q68CK6,ACSM2B,"Acyl-coenzyme A synthetase ACSM2B, mitochondrial"
P0C7M7,ACSM4,"Acyl-coenzyme A synthetase ACSM4, mitochondrial"
Q86TX2,ACOT1,Acyl-coenzyme A thioesterase 1
Q8WYK0,ACOT12,Acyl-coenzyme A thioesterase 12
Q9NPJ3,ACOT13,Acyl-coenzyme A thioesterase 13
Q8N9L9,ACOT4,Acyl-coenzyme A thioesterase 4
O14734,ACOT8,Acyl-coenzyme A thioesterase 8
Q9Y305,ACOT9,"Acyl-coenzyme A thioesterase 9, mitochondrial"
Q5T1C6,THEM4,Acyl-coenzyme A thioesterase THEM4
Q8N1Q8,THEM5,Acyl-coenzyme A thioesterase THEM5
O95372,LYPLA2,Acyl-protein thioesterase 2
P28039,AOAH,Acyloxyacyl hydrolase
P07311,ACYP1,Acylphosphatase-1
P14621,ACYP2,Acylphosphatase-2
Q6P587,FAHD1,"Acylpyruvase FAHD1, mitochondrial"
Q9UKQ2,ADAM28,ADAM 28
P78325,ADAM8,ADAM 8
O15204,ADAMDEC1,ADAM DEC1
Q8N6G6,ADAMTSL1,ADAMTS-like protein 1
Q8N6G6,ADAMTSL1,ADAMTS-like protein 1
Q86TH1,ADAMTSL2,ADAMTS-like protein 2
Q6ZMM2,ADAMTSL5,ADAMTS-like protein 5
P46108,CRK,Adapter molecule crk
P46108,CRK,Adapter molecule crk
Q8NC96,NECAP1,Adaptin ear-binding coat-associated protein 1
Q9NVZ3,NECAP2,Adaptin ear-binding coat-associated protein 2
Q9UIF7,MUTYH,Adenine DNA glycosylase
P07741,APRT,Adenine phosphoribosyltransferase
P29274,ADORA2A,Adenosine A2a receptor
P00813,ADA,Adenosine deaminase
Q9NZK5,ADA2,Adenosine deaminase CECR1
Q96M93,ADAD1,Adenosine deaminase domain-containing protein 1
P55263,ADK,Adenosine kinase
Q9BVA6,FICD,Adenosine monophosphate-protein transferase FICD
P23526,AHCY,Adenosylhomocysteinase
O43865,AHCYL1,Adenosylhomocysteinase 2
Q96HN2,AHCYL2,Adenosylhomocysteinase 3
Q08828,ADCY1,Adenylate cyclase type 1
Q08462,ADCY2,Adenylate cyclase type 2
P51828,ADCY7,Adenylate cyclase type 7
O60503,ADCY9,Adenylate cyclase type 9
P54819,AK2,"Adenylate kinase 2, mitochondrial"
P27144,AK4,"Adenylate kinase 4, mitochondrial"
Q96MA6,AK8,Adenylate kinase 8
Q5TCS8,AK9,Adenylate kinase 9
P00568,AK1,Adenylate kinase isoenzyme 1
Q9Y6K8,AK5,Adenylate kinase isoenzyme 5
P30566,ADSL,Adenylosuccinate lyase
Q8N142,ADSS1,Adenylosuccinate synthetase isozyme 1
P30520,ADSS2,Adenylosuccinate synthetase isozyme 2
Q01518,CAP1,Adenylyl cyclase-associated protein 1
P40123,CAP2,Adenylyl cyclase-associated protein 2
O95396,MOCS3,Adenylyltransferase and sulfurtransferase MOCS3
Q96PE1,ADGRA2,Adhesion G protein-coupled receptor A2
O60241,ADGRB2,Adhesion G protein-coupled receptor B2
O60242,ADGRB3,Adhesion G protein-coupled receptor B3
Q9UHX3,ADGRE2,Adhesion G protein-coupled receptor E2
Q8IZF2,ADGRF5,Adhesion G protein-coupled receptor F5
Q6QNK2,ADGRD1,Adhesion G-protein coupled receptor D1
Q5T601,ADGRF1,Adhesion G-protein coupled receptor F1
Q8IZF7,ADGRF2,Adhesion G-protein coupled receptor F2
Q9Y653,ADGRG1,Adhesion G-protein coupled receptor G1
Q8IZF4,ADGRG5,Adhesion G-protein coupled receptor G5
Q8IUX7,AEBP1,Adipocyte enhancer-binding protein 1
Q9HDC9,APMAP,Adipocyte plasma membrane-associated protein
Q15848,ADIPOQ,Adiponectin
Q99541,PLIN2,Adipophilin
Q7Z4H4,ADM2,ADM2
Q9BRR6,ADPGK,ADP-dependent glucokinase
Q9Y530,OARD1,ADP-ribose glycohydrolase OARD1
Q9BW91,NUDT9,"ADP-ribose pyrophosphatase, mitochondrial"
P28907,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
P28907,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
Q10588,BST1,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
P84077,ARF1,ADP-ribosylation factor 1
P61204,ARF3,ADP-ribosylation factor 3
P18085,ARF4,ADP-ribosylation factor 4
P84085,ARF5,ADP-ribosylation factor 5
P62330,ARF6,ADP-ribosylation factor 6
Q8N6T3,ARFGAP1,ADP-ribosylation factor GTPase-activating protein 1
Q8N6H7,ARFGAP2,ADP-ribosylation factor GTPase-activating protein 2
Q9NP61,ARFGAP3,ADP-ribosylation factor GTPase-activating protein 3
Q9UJY5,GGA1,ADP-ribosylation factor-binding protein GGA1
Q9UJY4,GGA2,ADP-ribosylation factor-binding protein GGA2
Q9NZ52,GGA3,ADP-ribosylation factor-binding protein GGA3
P40616,ARL1,ADP-ribosylation factor-like protein 1
Q969Q4,ARL11,ADP-ribosylation factor-like protein 11
Q3SXY8,ARL13B,ADP-ribosylation factor-like protein 13B
Q8N4G2,ARL14,ADP-ribosylation factor-like protein 14
Q9NXU5,ARL15,ADP-ribosylation factor-like protein 15
Q0P5N6,ARL16,ADP-ribosylation factor-like protein 16
P36404,ARL2,ADP-ribosylation factor-like protein 2
Q9Y2Y0,ARL2BP,ADP-ribosylation factor-like protein 2-binding protein
P36405,ARL3,ADP-ribosylation factor-like protein 3
P40617,ARL4A,ADP-ribosylation factor-like protein 4A
P56559,ARL4C,ADP-ribosylation factor-like protein 4C
P49703,ARL4D,ADP-ribosylation factor-like protein 4D
Q9Y689,ARL5A,ADP-ribosylation factor-like protein 5A
Q96KC2,ARL5B,ADP-ribosylation factor-like protein 5B
Q9H0F7,ARL6,ADP-ribosylation factor-like protein 6
Q15041,ARL6IP1,ADP-ribosylation factor-like protein 6-interacting protein 1
Q96BM9,ARL8A,ADP-ribosylation factor-like protein 8A
Q9NVJ2,ARL8B,ADP-ribosylation factor-like protein 8B
Q9NVJ2,ARL8B,ADP-ribosylation factor-like protein 8B
Q6T311,ARL9,ADP-ribosylation factor-like protein 9
Q13795,ARFRP1,ADP-ribosylation factor-related protein 1
Q9UKK9,NUDT5,ADP-sugar pyrophosphatase
Q9NRG9,AAAS,Adracalin
Q96AP0,ACD,Adrenocortical dysplasia protein homolog
P22570,FDXR,Adrenodoxin reductase
Q6P4F2,FDX2,"Adrenodoxin-like protein, mitochondrial"
P35318,ADM,Adrenomedullin
P35318,ADM,Adrenomedullin
Q9Y6U3,SCIN,Adseverin
Q15109,AGER,"Advanced glycosylation end product-specific receptor, soluble"
P51825,AFF1,AF4/FMR2 family member 1
P43652,AFM,Afamin
P43652,AFM,Afamin
O43488,AKR7A2,Aflatoxin B1 aldehyde reductase member 2
O95154,AKR7A3,Aflatoxin B1 aldehyde reductase member 3
Q8NHP1,AKR7L,Aflatoxin B1 aldehyde reductase member 4
P16112,ACAN,Aggrecan core protein
Q9BSE5,AGMAT,"Agmatinase, mitochondrial"
O00253,AGRP,Agouti-related protein
P42127,ASIP,Agouti-signaling protein
O00468,AGRN,Agrin
O00468,AGRN,Agrin
O00170,AIP,AH receptor-interacting protein
Q53H80,AKIRIN2,Akirin-2
P24298,GPT,Alanine aminotransferase 1
P24298,GPT,Alanine aminotransferase 1
Q8TD30,GPT2,Alanine aminotransferase 2
Q4LEZ3,AARD,Alanine and arginine-rich domain-containing protein
P49588,AARS1,"Alanine--tRNA ligase, cytoplasmic"
Q5JTZ9,AARS2,"Alanine--tRNA ligase, mitochondrial"
Q9BTE6,AARSD1,Alanyl-tRNA editing protein Aarsd1
