UniProt ID	Gene	Protein name
P09110	ACAA1	"3-ketoacyl-CoA thiolase, peroxisomal"
Q06136	KDSR	3-ketodihydrosphingosine reductase
P25325	MPST	3-mercaptopyruvate sulfurtransferase
P51857	AKR1D1	3-oxo-5-beta-steroid 4-dehydrogenase
Q9NWU1	OXSM	"3-oxoacyl-[acyl-carrier-protein] synthase, mitochondrial"
O15530	PDPK1	3-phosphoinositide-dependent protein kinase 1
O95861	BPNT1	"3'(2'),5'-bisphosphate nucleotidase 1"
Q9BYD6	MRPL1	"39S ribosomal protein L1, mitochondrial"
Q7Z7H8	MRPL10	"39S ribosomal protein L10, mitochondrial"
P52815	MRPL12	"39S ribosomal protein L12, mitochondrial"
Q6P1L8	MRPL14	"39S ribosomal protein L14, mitochondrial"
Q5T653	MRPL2	"39S ribosomal protein L2, mitochondrial"
Q7Z2W9	MRPL21	"39S ribosomal protein L21, mitochondrial"
Q13084	MRPL28	"39S ribosomal protein L28, mitochondrial"
Q9BYC8	MRPL32	"39S ribosomal protein L32, mitochondrial"
O75394	MRPL33	"39S ribosomal protein L33, mitochondrial"
Q9BQ48	MRPL34	"39S ribosomal protein L34, mitochondrial"
Q96DV4	MRPL38	"39S ribosomal protein L38, mitochondrial"
Q8N5N7	MRPL50	"39S ribosomal protein L50, mitochondrial"
Q86TS9	MRPL52	"39S ribosomal protein L52, mitochondrial"
Q7Z7F7	MRPL55	"39S ribosomal protein L55, mitochondrial"
Q86XE5	HOGA1	"4-hydroxy-2-oxoglutarate aldolase, mitochondrial"
P32754	HPD	4-hydroxyphenylpyruvate dioxygenase
P46783	RPS10	40S ribosomal protein S10
P25398	RPS12	40S ribosomal protein S12
P62263	RPS14	40S ribosomal protein S14
P39019	RPS19	40S ribosomal protein S19
P60866	RPS20	40S ribosomal protein S20
P62851	RPS25	40S ribosomal protein S25
P23396	RPS3	40S ribosomal protein S3
P61247	RPS3A	40S ribosomal protein S3a
P62701	RPS4X	"40S ribosomal protein S4, X isoform"
P46782	RPS5	40S ribosomal protein S5
P62081	RPS7	40S ribosomal protein S7
P08865	RPSA	40S ribosomal protein SA
P08195	SLC3A2	4F2 cell-surface antigen heavy chain:Cytoplasmic domain
P08195	SLC3A2	4F2 cell-surface antigen heavy chain:Extracellular domain
Q99807	COQ7	"5-demethoxyubiquinone hydroxylase, mitochondrial"
P49914	MTHFS	5-formyltetrahydrofolate cyclo-ligase
P28223	HTR2A	5-hydroxytryptamine receptor 2A
P50406	HTR6	5-hydroxytryptamine receptor 6
P34969	HTR7	5-hydroxytryptamine receptor 7
P09917	ALOX5	5-Lipoxygenase
P21589	NT5E	5'-Nucleotidase
P21589	NT5E	5'-Nucleotidase
Q5TFE4	NT5DC1	5'-nucleotidase domain-containing protein 1
Q86UY8	NT5DC3	5'-nucleotidase domain-containing protein 3
Q8TCD5	NT5C	"5'(3')-deoxyribonucleotidase, cytosolic type"
Q9NPB1	NT5M	"5'(3')-deoxyribonucleotidase, mitochondrial"
P16118	PFKFB1	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1"
Q16875	PFKFB3	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3"
Q16877	PFKFB4	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 4"
P52209	PGD	"6-phosphogluconate dehydrogenase, decarboxylating"
O95336	PGLS	6-phosphogluconolactonase
Q03393	PTS	6-pyruvoyl tetrahydrobiopterin synthase
P10809	HSPD1	"60 kDa heat shock protein, mitochondrial"
P05387	RPLP2	60S acidic ribosomal protein P2
P62913	RPL11	60S ribosomal protein L11
P30050	RPL12	60S ribosomal protein L12
Q9UNX3	RPL26L1	60S ribosomal protein L26-like 1
P62888	RPL30	60S ribosomal protein L30
P63173	RPL38	60S ribosomal protein L38
P46777	RPL5	60S ribosomal protein L5
Q9Y221	NIP7	60S ribosome subunit biogenesis protein NIP7 homolog
Q969T7	NT5C3B	7-methylguanosine phosphate-specific 5'-nucleotidase
P36639	NUDT1	"7,8-dihydro-8-oxoguanine triphosphatase"
Q9NRR6	INPP5E	72 kDa inositol polyphosphate 5-phosphatase
P08253	MMP2	72 kDa type IV collagenase
P11021	HSPA5	78 kDa glucose-regulated protein
Q9UHI8	ADAMTS1	A disintegrin and metalloproteinase with thrombospondin motifs 1
Q76LX8	ADAMTS13	A disintegrin and metalloproteinase with thrombospondin motifs 13
Q8TE58	ADAMTS15	A disintegrin and metalloproteinase with thrombospondin motifs 15
O15072	ADAMTS3	A disintegrin and metalloproteinase with thrombospondin motifs 3
O75173	ADAMTS4	A disintegrin and metalloproteinase with thrombospondin motifs 4
Q9UNA0	ADAMTS5	A disintegrin and metalloproteinase with thrombospondin motifs 5
Q9UKP5	ADAMTS6	A disintegrin and metalloproteinase with thrombospondin motifs 6
O43687	AKAP7	A-kinase anchor protein 7 isoforms alpha and beta
Q96D53	COQ8B	AarF domain-containing protein kinase 4
P42684	ABL2	Abelson tyrosine-protein kinase 2
P42684	ABL2	Abelson tyrosine-protein kinase 2
Q9P2A4	ABI3	ABI gene family member 3
O14862	AIM2	Absent in melanoma 2
Q86V21	AACS	Acetoacetyl-CoA synthetase
Q9BWD1	ACAT2	"Acetyl-CoA acetyltransferase, cytosolic"
P24752	ACAT1	"Acetyl-CoA acetyltransferase, mitochondrial"
Q9NR19	ACSS2	"Acetyl-coenzyme A synthetase, cytoplasmic"
P22303	ACHE	Acetylcholinesterase
P22303	ACHE	Acetylcholinesterase
Q13510	ASAH1	Acid ceramidase
Q92484	SMPDL3A	Acid sphingomyelinase-like phosphodiesterase 3a
Q92484	SMPDL3A	Acid sphingomyelinase-like phosphodiesterase 3a
Q96FT7	ASIC4	Acid-sensing ion channel 4
O43427	FIBP	Acidic fibroblast growth factor intracellular-binding protein
P39687	ANP32A	Acidic leucine-rich nuclear phosphoprotein 32 family member A
Q92688	ANP32B	Acidic leucine-rich nuclear phosphoprotein 32 family member B
O43423	ANP32C	Acidic leucine-rich nuclear phosphoprotein 32 family member C
Q9BZP6	CHIA	Acidic mammalian chitinase
P26436	ACRV1	Acrosomal protein SP-10
P26436	ACRV1	Acrosomal protein SP-10
Q8TED9	AFAP1L1	Actin filament-associated protein 1-like 1
Q8N4X5	AFAP1L2	Actin filament-associated protein 1-like 2
O94929	ABLIM3	Actin-binding LIM protein 3
O15143	ARPC1B	Actin-related protein 2/3 complex subunit 1B
O15144	ARPC2	Actin-related protein 2/3 complex subunit 2
O15145	ARPC3	Actin-related protein 2/3 complex subunit 3
O15511	ARPC5	Actin-related protein 2/3 complex subunit 5
P04070	PROC	Activated Protein C
P04070	PROC	Activated Protein C
P53999	SUB1	Activated RNA polymerase II transcriptional coactivator p15
Q8N9N2	ASCC1	Activating signal cointegrator 1 complex subunit 1
Q9H1I8	ASCC2	Activating signal cointegrator 1 complex subunit 2
O95433	AHSA1	Activator of 90 kDa heat shock protein ATPase homolog 1
O00198	HRK	Activator of apoptosis harakiri
Q12979	ABR	Active breakpoint cluster region-related protein
P08476	INHBA	Activin A
P08476	INHBA	Activin A
P09529	INHBB	Activin B
P36896	ACVR1B	Activin receptor type-1B
P27037	ACVR2A	Activin receptor type-2A
Q13705	ACVR2B	Activin receptor type-2B
Q04771	ACVR1	Activin RIA
Q7LC44	ARC	Activity-regulated cytoskeleton-associated protein
Q96CM8	ACSF2	"Acyl-CoA synthetase family member 2, mitochondrial"
Q9H6R3	ACSS3	"Acyl-CoA synthetase short-chain family member 3, mitochondrial"
Q8NC06	ACBD4	Acyl-CoA-binding domain-containing protein 4
Q9BR61	ACBD6	Acyl-CoA-binding domain-containing protein 6
Q9BR61	ACBD6	Acyl-CoA-binding domain-containing protein 6
Q8N6N7	ACBD7	Acyl-CoA-binding domain-containing protein 7
P07108	DBI	Acyl-CoA-binding protein
Q8WYK0	ACOT12	Acyl-coenzyme A thioesterase 12
Q9NPJ3	ACOT13	Acyl-coenzyme A thioesterase 13
O14734	ACOT8	Acyl-coenzyme A thioesterase 8
Q5T1C6	THEM4	Acyl-coenzyme A thioesterase THEM4
P07311	ACYP1	Acylphosphatase-1
P14621	ACYP2	Acylphosphatase-2
Q6P587	FAHD1	"Acylpyruvase FAHD1, mitochondrial"
Q9UKQ2	ADAM28	ADAM 28
P78325	ADAM8	ADAM 8
O15204	ADAMDEC1	ADAM DEC1
Q8N6G6	ADAMTSL1	ADAMTS-like protein 1
Q8N6G6	ADAMTSL1	ADAMTS-like protein 1
Q86TH1	ADAMTSL2	ADAMTS-like protein 2
P46108	CRK	Adapter molecule crk
Q9NVZ3	NECAP2	Adaptin ear-binding coat-associated protein 2
Q9UIF7	MUTYH	Adenine DNA glycosylase
P07741	APRT	Adenine phosphoribosyltransferase
P00813	ADA	Adenosine deaminase
Q9NZK5	ADA2	Adenosine deaminase CECR1
P55263	ADK	Adenosine kinase
P23526	AHCY	Adenosylhomocysteinase
O43865	AHCYL1	Adenosylhomocysteinase 2
P54819	AK2	"Adenylate kinase 2, mitochondrial"
P27144	AK4	"Adenylate kinase 4, mitochondrial"
P00568	AK1	Adenylate kinase isoenzyme 1
Q9Y6K8	AK5	Adenylate kinase isoenzyme 5
P30566	ADSL	Adenylosuccinate lyase
Q8N142	ADSS1	Adenylosuccinate synthetase isozyme 1
P30520	ADSS2	Adenylosuccinate synthetase isozyme 2
Q01518	CAP1	Adenylyl cyclase-associated protein 1
O95396	MOCS3	Adenylyltransferase and sulfurtransferase MOCS3
O60241	ADGRB2	Adhesion G protein-coupled receptor B2
O60242	ADGRB3	Adhesion G protein-coupled receptor B3
Q9UHX3	ADGRE2	Adhesion G protein-coupled receptor E2
Q8IZF2	ADGRF5	Adhesion G protein-coupled receptor F5
Q6QNK2	ADGRD1	Adhesion G-protein coupled receptor D1
Q5T601	ADGRF1	Adhesion G-protein coupled receptor F1
Q8IZF7	ADGRF2	Adhesion G-protein coupled receptor F2
Q9Y653	ADGRG1	Adhesion G-protein coupled receptor G1
Q8IZF4	ADGRG5	Adhesion G-protein coupled receptor G5
Q9HDC9	APMAP	Adipocyte plasma membrane-associated protein
Q15848	ADIPOQ	Adiponectin
Q7Z4H4	ADM2	ADM2
Q9BRR6	ADPGK	ADP-dependent glucokinase
Q9BW91	NUDT9	"ADP-ribose pyrophosphatase, mitochondrial"
P28907	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
P28907	CD38	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1
Q10588	BST1	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
P84077	ARF1	ADP-ribosylation factor 1
P61204	ARF3	ADP-ribosylation factor 3
P18085	ARF4	ADP-ribosylation factor 4
P84085	ARF5	ADP-ribosylation factor 5
P62330	ARF6	ADP-ribosylation factor 6
Q8N6T3	ARFGAP1	ADP-ribosylation factor GTPase-activating protein 1
Q8N6H7	ARFGAP2	ADP-ribosylation factor GTPase-activating protein 2
Q9UJY5	GGA1	ADP-ribosylation factor-binding protein GGA1
Q9NZ52	GGA3	ADP-ribosylation factor-binding protein GGA3
P40616	ARL1	ADP-ribosylation factor-like protein 1
Q969Q4	ARL11	ADP-ribosylation factor-like protein 11
Q8N4G2	ARL14	ADP-ribosylation factor-like protein 14
Q9NXU5	ARL15	ADP-ribosylation factor-like protein 15
P36404	ARL2	ADP-ribosylation factor-like protein 2
Q9Y2Y0	ARL2BP	ADP-ribosylation factor-like protein 2-binding protein
P36405	ARL3	ADP-ribosylation factor-like protein 3
P49703	ARL4D	ADP-ribosylation factor-like protein 4D
Q9Y689	ARL5A	ADP-ribosylation factor-like protein 5A
Q96KC2	ARL5B	ADP-ribosylation factor-like protein 5B
Q9H0F7	ARL6	ADP-ribosylation factor-like protein 6
Q15041	ARL6IP1	ADP-ribosylation factor-like protein 6-interacting protein 1
Q96BM9	ARL8A	ADP-ribosylation factor-like protein 8A
Q9NVJ2	ARL8B	ADP-ribosylation factor-like protein 8B
Q6T311	ARL9	ADP-ribosylation factor-like protein 9
Q9UKK9	NUDT5	ADP-sugar pyrophosphatase
Q6P4F2	FDX2	"Adrenodoxin-like protein, mitochondrial"
P35318	ADM	Adrenomedullin
P35318	ADM	Adrenomedullin
Q9Y6U3	SCIN	Adseverin
Q15109	AGER	"Advanced glycosylation end product-specific receptor, soluble"
P43652	AFM	Afamin
P43652	AFM	Afamin
O43488	AKR7A2	Aflatoxin B1 aldehyde reductase member 2
O95154	AKR7A3	Aflatoxin B1 aldehyde reductase member 3
P16112	ACAN	Aggrecan core protein
O00253	AGRP	Agouti-related protein
P42127	ASIP	Agouti-signaling protein
O00468	AGRN	Agrin
O00170	AIP	AH receptor-interacting protein
Q53H80	AKIRIN2	Akirin-2
P24298	GPT	Alanine aminotransferase 1
P24298	GPT	Alanine aminotransferase 1
Q8TD30	GPT2	Alanine aminotransferase 2
P49588	AARS1	"Alanine--tRNA ligase, cytoplasmic"
Q9BTE6	AARSD1	Alanyl-tRNA editing protein Aarsd1
P14550	AKR1A1	Alcohol dehydrogenase [NADP(+)]
P07327	ADH1A	Alcohol dehydrogenase 1A
P00325	ADH1B	Alcohol dehydrogenase 1B
P00326	ADH1C	Alcohol dehydrogenase 1C
P08319	ADH4	Alcohol dehydrogenase 4
P28332	ADH6	Alcohol dehydrogenase 6
P40394	ADH7	Alcohol dehydrogenase class 4 mu/sigma chain
P11766	ADH5	Alcohol dehydrogenase class-3
P47895	ALDH1A3	Aldehyde dehydrogenase family 1 member A3
P43353	ALDH3B1	Aldehyde dehydrogenase family 3 member B1
P30837	ALDH1B1	"Aldehyde dehydrogenase X, mitochondrial"
P30838	ALDH3A1	"Aldehyde dehydrogenase, dimeric NADP-preferring"
P05091	ALDH2	"Aldehyde dehydrogenase, mitochondrial"
O60218	AKR1B10	Aldo-keto reductase family 1 member B10
Q04828	AKR1C1	Aldo-keto reductase family 1 member C1
P52895	AKR1C2	Aldo-keto reductase family 1 member C2
P42330	AKR1C3	Aldo-keto reductase family 1 member C3
P17516	AKR1C4	Aldo-keto reductase family 1 member C4
P15121	AKR1B1	Aldose reductase
P15121	AKR1B1	Aldose reductase
Q6UX46	ALKAL2	ALK and LTK ligand 2
Q9UM73	ALK	ALK tyrosine kinase receptor
P05187	ALPP	"Alkaline phosphatase, placental type"
P10696	ALPG	"Alkaline phosphatase, placental-like"
P10696	ALPG	"Alkaline phosphatase, placental-like"
P05186	ALPL	"Alkaline phosphatase, tissue-nonspecific isozyme"
Q7Z6M3	MILR1	Allergin-1
P55008	AIF1	Allograft inflammatory factor 1
Q9BQI0	AIF1L	Allograft inflammatory factor 1-like
Q6PD74	AAGAB	Alpha- and gamma-adaptin-binding protein p34
Q11130	FUT7	"Alpha-(1,3)-fucosyltransferase"
Q6P4F1	FUT10	"Alpha-(1,3)-fucosyltransferase 10"
Q495W5	FUT11	"Alpha-(1,3)-fucosyltransferase 11"
Q11128	FUT5	"Alpha-(1,3)-fucosyltransferase 5"
Q9Y231	FUT9	"Alpha-(1,3)-fucosyltransferase 9"
Q9BYC5	FUT8	"Alpha-(1,6)-fucosyltransferase"
P01011	SERPINA3	Alpha-1-antichymotrypsin
P07288 | P01011	KLK3 | SERPINA3	Alpha-1-antichymotrypsin complex
P01009	SERPINA1	Alpha-1-antitrypsin
P02760	AMBP	Alpha-1-microglobulin
Q13424	SNTA1	Alpha-1-syntrophin
Q13424	SNTA1	Alpha-1-syntrophin
P26572	MGAT1	"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
Q9UM21	MGAT4A	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A"
Q9UQ53	MGAT4B	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B"
Q9UBM8	MGAT4C	"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C"
Q9H553	ALG2	"Alpha-1,3-mannosyltransferase ALG2"
Q9UNA3	A4GNT	"Alpha-1,4-N-acetylglucosaminyltransferase"
Q10469	MGAT2	"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"
Q09328	MGAT5	"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A"
Q09328	MGAT5	"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A"
P04217	A1BG	Alpha-1B-glycoprotein
P08697	SERPINF2	Alpha-2-antiplasmin
P02765	AHSG	Alpha-2-HS-glycoprotein
P02765	AHSG	Alpha-2-HS-glycoprotein
P01023	A2M	Alpha-2-macroglobulin
P30533	LRPAP1	alpha-2-macroglobulin receptor-associated protein
A8K2U0	A2ML1	Alpha-2-macroglobulin-like protein 1
Q92186	ST8SIA2	"Alpha-2,8-sialyltransferase 8B"
P61647	ST8SIA6	"Alpha-2,8-sialyltransferase 8F"
P12814	ACTN1	Alpha-actinin-1
P35609	ACTN2	Alpha-actinin-2
O43707	ACTN4	Alpha-actinin-4
P49419	ALDH7A1	Alpha-aminoadipic semialdehyde dehydrogenase
P04745	AMY1A	Alpha-amylase 1
P19961	AMY2B	Alpha-amylase 2B
P19961	AMY2B	Alpha-amylase 2B
P02489	CRYAA	Alpha-crystallin A chain
O43768	ENSA	Alpha-endosulfine
P06733	ENO1	Alpha-enolase
P02771	AFP	alpha-Fetoprotein
P06280	GLA	Alpha-galactosidase A
Q9NZD4	AHSP	Alpha-hemoglobin-stabilizing protein
Q16352	INA	Alpha-internexin
Q96Q83	ALKBH3	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
P04066	FUCA1	Alpha-L-fucoside fucohydrolase
P35475	IDUA	Alpha-L-iduronidase
Q9H4F1	ST6GALNAC4	"Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase"
Q9NSC7	ST6GALNAC1	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"
Q9UJ37	ST6GALNAC2	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
Q8NDV1	ST6GALNAC3	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"
Q8NDV1	ST6GALNAC3	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"
Q9BVH7	ST6GALNAC5	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5"
Q969X2	ST6GALNAC6	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6"
P54802	NAGLU	Alpha-N-acetylglucosaminidase
Q92185	ST8SIA1	"Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase"
Q92185	ST8SIA1	"Alpha-N-acetylneuraminide alpha-2,8-sialyltransferase"
Q9NVD7	PARVA	Alpha-parvin
P54920	NAPA	Alpha-soluble NSF attachment protein
P37840	SNCA	Alpha-synuclein
P37840	SNCA	Alpha-synuclein
P40222	TXLNA	Alpha-taxilin
P40222	TXLNA	Alpha-taxilin
Q9BTX7	TTPAL	Alpha-tocopherol transfer protein-like
P19801	AOC1	Amiloride-sensitive amine oxidase [copper-containing]
P19801	AOC1	Amiloride-sensitive amine oxidase [copper-containing]
Q08117	TLE5	Amino-terminal enhancer of split
Q03154	ACY1	Aminoacylase-1
P48728	AMT	"Aminomethyltransferase, mitochondrial"
Q9H4A4	RNPEP	Aminopeptidase B
P15144	ANPEP	Aminopeptidase N
Q6DCA0	AMMECR1L	AMMECR1-like protein
Q01433	AMPD2	AMP deaminase 2
P54619 | Q9Y478 | Q13131	PRKAG1 | PRKAB1 | PRKAA1	AMP Kinase (alpha1beta1gamma1)
P54619 | O43741 | P54646	PRKAG1 | PRKAB2 | PRKAA2	AMP Kinase (alpha2beta2gamma1)
P49418	AMPH	Amphiphysin
P15514	AREG	Amphiregulin
Q86WK6	AMIGO1	Amphoterin-induced protein 1:Cytoplasmic domain
Q86WK6	AMIGO1	Amphoterin-induced protein 1:Extracellular domain
Q86SJ2	AMIGO2	Amphoterin-induced protein 2
Q86SJ2	AMIGO2	Amphoterin-induced protein 2
Q96FJ0	STAMBPL1	AMSH-like protease
Q7Z5R6	APBB1IP	Amyloid beta A4 precursor protein-binding family B member 1-interacting protein
O00213	APBB1	Amyloid beta A4 precursor protein-binding family B member 1:Phosphotyrosine Interaction Domain 1
O00213	APBB1	Amyloid beta A4 precursor protein-binding family B member 1:Phosphotyrosine Interaction Domain 2
Q92870	APBB2	Amyloid beta A4 precursor protein-binding family B member 2:Phosphotyrosine Interaction Domain 1
Q92870	APBB2	Amyloid beta A4 precursor protein-binding family B member 2:Phosphotyrosine Interaction Domain 2
O95704	APBB3	"Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 1,Isoform II"
O95704	APBB3	"Amyloid beta A4 precursor protein-binding family B member 3:Phosphotyrosine Interaction Domain 2, Isoform IV"
P05067	APP	Amyloid beta A4 protein
P51693	APLP1	Amyloid-like protein 1
Q06481	APLP2	Amyloid-like protein 2
Q06481	APLP2	Amyloid-like protein 2
Q8TCF1	ZFAND1	AN1-type zinc finger protein 1
Q8WV99	ZFAND2B	AN1-type zinc finger protein 2B
Q9H8U3	ZFAND3	AN1-type zinc finger protein 3
O76080	ZFAND5	AN1-type zinc finger protein 5
Q9UM13	ANAPC10	Anaphase-promoting complex subunit 10
Q9UJX3	ANAPC7	Anaphase-promoting complex subunit 7
Q8N302	AGGF1	Angiogenic factor with G patch and FHA domains 1
P03950	ANG	Angiogenin
Q4VCS5	AMOT	Angiomotin
Q15389	ANGPT1	Angiopoietin-1
Q02763	TEK	"Angiopoietin-1 receptor, soluble"
O15123	ANGPT2	Angiopoietin-2
O15123	ANGPT2	Angiopoietin-2
Q9Y264	ANGPT4	Angiopoietin-4
Q6UXH0	ANGPTL8	Angiopoietin-like protein 8
O95841	ANGPTL1	"Angiopoietin-related protein 1:C-Term, Fibrinogen domian"
O95841	ANGPTL1	Angiopoietin-related protein 1:N-term
Q9Y5C1	ANGPTL3	Angiopoietin-related protein 3
Q9Y5C1	ANGPTL3	Angiopoietin-related protein 3
Q9BY76	ANGPTL4	Angiopoietin-related protein 4
O43827	ANGPTL7	Angiopoietin-related protein 7
P00747	PLG	Angiostatin
P12821	ACE	Angiotensin-converting enzyme
Q9BYF1	ACE2	Angiotensin-converting enzyme 2
P01019	AGT	Angiotensinogen
Q8TE54	SLC26A7	Anion exchange transporter
Q8IV38	ANKMY2	Ankyrin repeat and MYND domain-containing protein 2
Q6ZW76	ANKS3	Ankyrin repeat and SAM domain-containing protein 3
Q8WXK3	ASB13	Ankyrin repeat and SOCS box protein 13
Q9H765	ASB8	Ankyrin repeat and SOCS box protein 8
Q96DX5	ASB9	Ankyrin repeat and SOCS box protein 9
Q15327	ANKRD1	Ankyrin repeat domain-containing protein 1
Q15327	ANKRD1	Ankyrin repeat domain-containing protein 1
Q6P6B7	ANKRD16	Ankyrin repeat domain-containing protein 16
Q9GZV1	ANKRD2	Ankyrin repeat domain-containing protein 2
Q96NW4	ANKRD27	Ankyrin repeat domain-containing protein 27
Q6AI12	ANKRD40	Ankyrin repeat domain-containing protein 40
Q5TZF3	ANKRD45	Ankyrin repeat domain-containing protein 45
Q86W74	ANKRD46	Ankyrin repeat domain-containing protein 46
Q6NXT1	ANKRD54	Ankyrin repeat domain-containing protein 54
C9JTQ0	ANKRD63	Ankyrin repeat domain-containing protein 63
Q9H9E1	ANKRA2	Ankyrin repeat family A protein 2
Q01484	ANK2	Ankyrin-2
P04083	ANXA1	Annexin A1
Q9UJ72	ANXA10	Annexin A10
P50995	ANXA11	Annexin A11
P27216	ANXA13	Annexin A13
P07355	ANXA2	Annexin A2
P07355	ANXA2	Annexin A2
P12429	ANXA3	Annexin A3
P09525	ANXA4	Annexin A4
P08758	ANXA5	Annexin A5
P08133	ANXA6	Annexin A6
P20073	ANXA7	Annexin A7
P20073	ANXA7	Annexin A7
